Module,Cluster,PValue,HL_Shift
TGFb_ReceptorsLigands,CD14+ Monocytes,0.0065559426958426426,0.04068127236233699
TGFb_ReceptorsLigands,CD16+ NCM,0.8459647779369568,-0.003393512472202419
TGFb_ReceptorsLigands,CD4+ Activated,0.26030949363091577,-0.010021066400812613
TGFb_ReceptorsLigands,CD4+ naïve,1.3694414377044266e-4,-0.03123759418264543
TGFb_ReceptorsLigands,CD4+ Tfh,0.2963125973427194,0.023937535511281364
TGFb_ReceptorsLigands,CD4+ Treg,0.2945216558637128,-0.02253812838320118
TGFb_ReceptorsLigands,CD8+ EM,0.0039494336265220465,0.02688521853937433
TGFb_ReceptorsLigands,CD8+ TCM,0.03418889377107656,-0.013665244856672325
TGFb_ReceptorsLigands,CD8+ TEMRA,0.21260734856301758,0.013917361620558965
TGFb_ReceptorsLigands,cDC2,0.256738815258807,-0.025858372230656488
TGFb_ReceptorsLigands,DC-like APCs,0.03766793620905756,0.028805053152296544
TGFb_ReceptorsLigands,dnT,0.02759532550115627,0.024787953269388888
TGFb_ReceptorsLigands,GC-like B,0.321656722101295,0.03722048698440085
TGFb_ReceptorsLigands,Intermediate B,0.2534809107200224,0.026779794061093796
TGFb_ReceptorsLigands,Memory B,0.2794784537369064,0.016772946600051655
TGFb_ReceptorsLigands,moDC,0.23563425779352748,-0.03960025229644388
TGFb_ReceptorsLigands,moDC precursor,0.09325841236050843,0.06478441239869827
TGFb_ReceptorsLigands,Naïve B,0.5149265745357671,0.01028634135955758
TGFb_ReceptorsLigands,NK Cytotoxic,0.0016700211149469576,0.03267039363875816
TGFb_ReceptorsLigands,NKCD56bright,0.36280244744298895,0.023525725938304775
TGFb_SMAD_Core,CD14+ Monocytes,0.02790068275837935,0.05215681646382906
TGFb_SMAD_Core,CD16+ NCM,0.15685987579110144,0.042493979977278974
TGFb_SMAD_Core,CD4+ Activated,0.001770996688645778,0.0442199977282861
TGFb_SMAD_Core,CD4+ naïve,0.9094978817662646,0.0015100621988911834
TGFb_SMAD_Core,CD4+ Tfh,0.3396865799380784,-0.03054795116382564
TGFb_SMAD_Core,CD4+ Treg,0.2572155457993584,0.03649577953481934
TGFb_SMAD_Core,CD8+ EM,1.3770811895982675e-7,0.07559168127857768
TGFb_SMAD_Core,CD8+ TCM,0.6667436568886267,0.0045630056027936685
TGFb_SMAD_Core,CD8+ TEMRA,4.60235135105002e-6,0.08449227156374783
TGFb_SMAD_Core,cDC2,0.9729121782606869,0.0010714175899149666
TGFb_SMAD_Core,DC-like APCs,0.0233533333478064,0.046134435065470276
TGFb_SMAD_Core,dnT,0.717844401898691,-0.006293780604627781
TGFb_SMAD_Core,GC-like B,0.5596311918753699,-0.03157345892755876
TGFb_SMAD_Core,Intermediate B,0.33669541661970936,0.025870791296926047
TGFb_SMAD_Core,Memory B,0.054866110949598215,0.05536777154453276
TGFb_SMAD_Core,moDC,0.03560103394137856,0.13969709165159827
TGFb_SMAD_Core,moDC precursor,0.1553963339029436,0.10302886183577645
TGFb_SMAD_Core,Naïve B,0.015862873776741487,0.07505017725577183
TGFb_SMAD_Core,NK Cytotoxic,0.0018212755984331832,0.049221282607332904
TGFb_SMAD_Core,NKCD56bright,0.7428555984079135,-0.01262783152764263
TGFb_Downstream,CD14+ Monocytes,0.6458815049151609,0.0019830246829680423
TGFb_Downstream,CD16+ NCM,0.9750607732357149,1.2893420893035935e-4
TGFb_Downstream,CD4+ Activated,0.8446787578342373,-0.0012827125279588028
TGFb_Downstream,CD4+ naïve,3.5575990769949107e-4,0.019672016010478407
TGFb_Downstream,CD4+ Tfh,0.9953669627287255,1.0121637312683797e-4
TGFb_Downstream,CD4+ Treg,0.30772552550962934,-0.020111784320032782
TGFb_Downstream,CD8+ EM,0.155818642413061,-0.00985089092863544
TGFb_Downstream,CD8+ TCM,8.33281173688429e-12,0.032609424746107396
TGFb_Downstream,CD8+ TEMRA,0.05942260781564009,-0.007478583050764209
TGFb_Downstream,cDC2,0.08092531868358574,-0.032428716392438064
TGFb_Downstream,DC-like APCs,0.2851475467739414,0.00558768204511838
TGFb_Downstream,dnT,4.294252615487233e-6,0.036306894039564844
TGFb_Downstream,GC-like B,0.13558227002952447,0.029893686825351103
TGFb_Downstream,Intermediate B,0.47617481364790104,0.015431503315830717
TGFb_Downstream,Memory B,0.6485679212024507,-0.004856190215762228
TGFb_Downstream,moDC,0.3563090757945742,-0.01114556202619495
TGFb_Downstream,moDC precursor,0.9790714611499245,-3.0907513893034663e-4
TGFb_Downstream,Naïve B,0.3264816522164705,-0.013850458199902816
TGFb_Downstream,NK Cytotoxic,5.035765321781468e-9,0.03362457000837674
TGFb_Downstream,NKCD56bright,0.7438228591827785,-0.006123802163927317
TGFb_Noncanonical,CD14+ Monocytes,0.43746610011005055,0.00980203286744045
TGFb_Noncanonical,CD16+ NCM,0.9857474500394111,-2.7202502360847863e-4
TGFb_Noncanonical,CD4+ Activated,0.22616224239798854,0.009405668667339289
TGFb_Noncanonical,CD4+ naïve,0.6674196160466397,-0.0034977395227833827
TGFb_Noncanonical,CD4+ Tfh,0.9900722633777311,-4.293196293266605e-4
TGFb_Noncanonical,CD4+ Treg,0.17054522224302654,-0.02524421569163909
TGFb_Noncanonical,CD8+ EM,0.010646611028222099,-0.02061397615366502
TGFb_Noncanonical,CD8+ TCM,0.5209007224904025,0.004127012096718102
TGFb_Noncanonical,CD8+ TEMRA,0.0011321143369263707,-0.03400868682215793
TGFb_Noncanonical,cDC2,0.93273435372215,-0.0015110500531477777
TGFb_Noncanonical,DC-like APCs,6.460088250714964e-4,0.039549139002393624
TGFb_Noncanonical,dnT,7.835541363586633e-10,-0.07644357919099916
TGFb_Noncanonical,GC-like B,0.20496771572245326,-0.04212677202274241
TGFb_Noncanonical,Intermediate B,0.22955166898599316,-0.022137104398718518
TGFb_Noncanonical,Memory B,0.059805381933356834,-0.029186794564462805
TGFb_Noncanonical,moDC,0.2949797663253532,-0.05589649766038437
TGFb_Noncanonical,moDC precursor,0.35805533430312314,-0.03200853850193687
TGFb_Noncanonical,Naïve B,0.43598825203144925,-0.01305297213099967
TGFb_Noncanonical,NK Cytotoxic,0.9690499586518995,3.6269696060356227e-4
TGFb_Noncanonical,NKCD56bright,0.9078480963676214,-0.0030434969868195208
IL10_STAT3_ReceptorsTransducers,CD14+ Monocytes,0.1334960003461096,-0.044858356600430416
IL10_STAT3_ReceptorsTransducers,CD16+ NCM,0.42082501693318136,0.03460405807981575
IL10_STAT3_ReceptorsTransducers,CD4+ Activated,0.1554788389715658,0.027168424490773425
IL10_STAT3_ReceptorsTransducers,CD4+ naïve,0.3347471389880316,0.017269427975080305
IL10_STAT3_ReceptorsTransducers,CD4+ Tfh,0.9755147954419725,0.0015375014773430077
IL10_STAT3_ReceptorsTransducers,CD4+ Treg,0.5201746795237763,0.025809050521017878
IL10_STAT3_ReceptorsTransducers,CD8+ EM,0.2023164555417128,0.023307747826720963
IL10_STAT3_ReceptorsTransducers,CD8+ TCM,5.260827129146708e-6,0.06567868696612174
IL10_STAT3_ReceptorsTransducers,CD8+ TEMRA,0.7733759453461576,0.006721578984837754
IL10_STAT3_ReceptorsTransducers,cDC2,0.1265067442964671,0.05273444698355457
IL10_STAT3_ReceptorsTransducers,DC-like APCs,0.6643494702913673,0.011196184592976567
IL10_STAT3_ReceptorsTransducers,dnT,0.002475019561255984,0.06973851837475202
IL10_STAT3_ReceptorsTransducers,GC-like B,0.17792086454601436,-0.08143478103097612
IL10_STAT3_ReceptorsTransducers,Intermediate B,0.01582360134875823,0.09370886995378408
IL10_STAT3_ReceptorsTransducers,Memory B,0.7063232376736401,0.012305190644932512
IL10_STAT3_ReceptorsTransducers,moDC,0.04299304321789462,0.08655761837129437
IL10_STAT3_ReceptorsTransducers,moDC precursor,0.6430415520379537,-0.03169830821342499
IL10_STAT3_ReceptorsTransducers,Naïve B,0.18492000950798917,-0.05486035938659894
IL10_STAT3_ReceptorsTransducers,NK Cytotoxic,0.18862100061668183,0.026038991972530384
IL10_STAT3_ReceptorsTransducers,NKCD56bright,0.45008458462060036,0.04173015955130821
IL10_STAT3_TFH_Adjacent_TFs,CD14+ Monocytes,0.026831298823109896,0.01967369404841607
IL10_STAT3_TFH_Adjacent_TFs,CD16+ NCM,0.02532993168996896,0.058341289401674004
IL10_STAT3_TFH_Adjacent_TFs,CD4+ Activated,0.003622949146207375,0.037061664870346164
IL10_STAT3_TFH_Adjacent_TFs,CD4+ naïve,0.00839686643051798,0.023361724039942588
IL10_STAT3_TFH_Adjacent_TFs,CD4+ Tfh,0.39887720369192403,0.03446272888876116
IL10_STAT3_TFH_Adjacent_TFs,CD4+ Treg,0.9940132962296682,-1.876798288383468e-4
IL10_STAT3_TFH_Adjacent_TFs,CD8+ EM,2.237999329200579e-4,0.032600217981607026
IL10_STAT3_TFH_Adjacent_TFs,CD8+ TCM,0.4100147315680687,-0.0057447271413377295
IL10_STAT3_TFH_Adjacent_TFs,CD8+ TEMRA,0.005455033534636231,0.029745794198483527
IL10_STAT3_TFH_Adjacent_TFs,cDC2,0.22934608454765645,0.027506568668999573
IL10_STAT3_TFH_Adjacent_TFs,DC-like APCs,0.010380881026314126,0.024870122109525425
IL10_STAT3_TFH_Adjacent_TFs,dnT,3.575369937393332e-4,0.03894397444555358
IL10_STAT3_TFH_Adjacent_TFs,GC-like B,0.9458294563100497,0.0014336964841194938
IL10_STAT3_TFH_Adjacent_TFs,Intermediate B,0.46396834535805653,0.019297003277010685
IL10_STAT3_TFH_Adjacent_TFs,Memory B,0.6867179583549575,-0.0045056298081546636
IL10_STAT3_TFH_Adjacent_TFs,moDC,0.46477840830282285,0.00872053495795772
IL10_STAT3_TFH_Adjacent_TFs,moDC precursor,0.08782416154025337,0.029750985939554157
IL10_STAT3_TFH_Adjacent_TFs,Naïve B,0.4221476197544961,0.013874939113662206
IL10_STAT3_TFH_Adjacent_TFs,NK Cytotoxic,0.569708221802919,-0.004913371446948659
IL10_STAT3_TFH_Adjacent_TFs,NKCD56bright,0.777921537907656,-0.008770266528228538
IL10_STAT3_Treg_Overlap,CD14+ Monocytes,0.0030201664037393856,0.006436632947117948
IL10_STAT3_Treg_Overlap,CD16+ NCM,0.02824210811487982,0.006979255094456424
IL10_STAT3_Treg_Overlap,CD4+ Activated,0.0015306791296549808,0.010032074469029487
IL10_STAT3_Treg_Overlap,CD4+ naïve,1.0271918602046085e-13,0.015884505422813968
IL10_STAT3_Treg_Overlap,CD4+ Tfh,0.9715457879206143,5.546305964724882e-4
IL10_STAT3_Treg_Overlap,CD4+ Treg,0.02129980721165039,-0.1497761007079003
IL10_STAT3_Treg_Overlap,CD8+ EM,5.036304310262047e-4,0.009556072460035633
IL10_STAT3_Treg_Overlap,CD8+ TCM,2.2762486776501664e-55,0.03428075731640412
IL10_STAT3_Treg_Overlap,CD8+ TEMRA,0.4299505872453513,-0.0017245652032436471
IL10_STAT3_Treg_Overlap,cDC2,0.4818215706650038,-0.01075971950742497
IL10_STAT3_Treg_Overlap,DC-like APCs,0.029008633723255406,0.004716947888695636
IL10_STAT3_Treg_Overlap,dnT,4.7252848029203425e-7,0.014637283675171255
IL10_STAT3_Treg_Overlap,GC-like B,0.19509957159580707,0.010315941555075593
IL10_STAT3_Treg_Overlap,Intermediate B,0.335448365266786,0.019619833473062353
IL10_STAT3_Treg_Overlap,Memory B,2.623931456417509e-4,0.013236089454405504
IL10_STAT3_Treg_Overlap,moDC,0.019139108491088727,-0.01445074654405803
IL10_STAT3_Treg_Overlap,moDC precursor,0.10356108645968048,0.006765949005260645
IL10_STAT3_Treg_Overlap,Naïve B,0.05257373372596368,0.02313786234185514
IL10_STAT3_Treg_Overlap,NK Cytotoxic,1.975314272911969e-18,0.034183676679614645
IL10_STAT3_Treg_Overlap,NKCD56bright,0.06447882247590142,-0.06205062217273898
IL10_STAT3_Myeloid_M2_Hue,CD14+ Monocytes,7.669744851265204e-6,0.04210920801603791
IL10_STAT3_Myeloid_M2_Hue,CD16+ NCM,0.011553214918020131,0.08534786999064352
IL10_STAT3_Myeloid_M2_Hue,CD4+ Activated,2.9843779970383586e-16,0.007144416564943098
IL10_STAT3_Myeloid_M2_Hue,CD4+ naïve,5.506894125648741e-19,0.007370686733722541
IL10_STAT3_Myeloid_M2_Hue,CD4+ Tfh,0.07410411346407245,0.004122513196828822
IL10_STAT3_Myeloid_M2_Hue,CD4+ Treg,6.9743029946032975e-6,0.007892674970404124
IL10_STAT3_Myeloid_M2_Hue,CD8+ EM,1.1777036789425048e-12,0.006099197431011053
IL10_STAT3_Myeloid_M2_Hue,CD8+ TCM,1.1817221108523594e-67,0.012080083728348187
IL10_STAT3_Myeloid_M2_Hue,CD8+ TEMRA,0.09241780510321934,0.001605729485150179
IL10_STAT3_Myeloid_M2_Hue,cDC2,0.10540001185391372,0.013701776426476811
IL10_STAT3_Myeloid_M2_Hue,DC-like APCs,1.4475703110995288e-6,0.023240054370288216
IL10_STAT3_Myeloid_M2_Hue,dnT,1.4885537296878602e-17,0.008431268453508332
IL10_STAT3_Myeloid_M2_Hue,GC-like B,0.12955089498611222,0.005367176590527658
IL10_STAT3_Myeloid_M2_Hue,Intermediate B,0.1098851808917232,0.004334449501758435
IL10_STAT3_Myeloid_M2_Hue,Memory B,2.8427002993746097e-4,0.005857372493743514
IL10_STAT3_Myeloid_M2_Hue,moDC,0.7028676971890289,-0.001781117589195658
IL10_STAT3_Myeloid_M2_Hue,moDC precursor,0.5647867157481714,0.0024369345177086333
IL10_STAT3_Myeloid_M2_Hue,Naïve B,0.0016556773233350984,0.0058620989315260425
IL10_STAT3_Myeloid_M2_Hue,NK Cytotoxic,1.8552869854192356e-9,0.005478994004180086
IL10_STAT3_Myeloid_M2_Hue,NKCD56bright,0.0035358102200215924,0.0068792369502190896
Reservoir_CD4_Tfh_Core,CD14+ Monocytes,0.0066122482132707746,0.014250797088824612
Reservoir_CD4_Tfh_Core,CD16+ NCM,5.460178960620712e-5,0.04317759741648404
Reservoir_CD4_Tfh_Core,CD4+ Activated,0.0053866349051542315,0.025668559891951416
Reservoir_CD4_Tfh_Core,CD4+ naïve,0.06590715749243987,0.010710060271445186
Reservoir_CD4_Tfh_Core,CD4+ Tfh,0.11596162754575903,0.043506490512242015
Reservoir_CD4_Tfh_Core,CD4+ Treg,0.43285554550280647,-0.01625410684765843
Reservoir_CD4_Tfh_Core,CD8+ EM,0.14771207682987123,0.010120362118041059
Reservoir_CD4_Tfh_Core,CD8+ TCM,0.012852576423459463,0.008319775246639233
Reservoir_CD4_Tfh_Core,CD8+ TEMRA,0.3874023987199813,0.006487305588995518
Reservoir_CD4_Tfh_Core,cDC2,0.9605376911248463,0.001073879508153276
Reservoir_CD4_Tfh_Core,DC-like APCs,0.008712585792270735,0.013165246524834417
Reservoir_CD4_Tfh_Core,dnT,1.4865108849128e-4,0.02816643794341661
Reservoir_CD4_Tfh_Core,GC-like B,0.48652276813915346,0.01340617308177117
Reservoir_CD4_Tfh_Core,Intermediate B,0.9228723154165529,-0.001525626987631495
Reservoir_CD4_Tfh_Core,Memory B,0.5053472509472443,0.005561525967920627
Reservoir_CD4_Tfh_Core,moDC,0.2725559931260191,0.00891763646571842
Reservoir_CD4_Tfh_Core,moDC precursor,0.2989273372070815,0.011476552805334446
Reservoir_CD4_Tfh_Core,Naïve B,0.06307029010230171,0.018237729622469983
