Module,Module_Pretty,Family,Submodule,Present,Missing,Present_Genes,Missing_Genes,Module_Reviewer
Autophagy_Xenophagy,Autophagy : Xenophagy,Autophagy,Xenophagy,11,0,ATG16L1;ATG5;ATG7;CALCOCO2;LRSAM1;NOD2;OPTN;RIPK2;SQSTM1;TAX1BP1;TBK1,,Autophagy Xenophagy
Autophagy_cGAS_STING,Autophagy : cGAS_STING,Autophagy,cGAS_STING,2,0,CGAS;STING1,,Autophagy cGAS STING
Autophagy_mTORC,Autophagy : mTORC,Autophagy,mTORC,7,0,DEPDC5;MLST8;MTOR;RHEB;RPTOR;TSC1;TSC2,,Autophagy mTORC
Autophagy_AMPK,Autophagy : AMPK,Autophagy,AMPK,5,0,PRKAA1;PRKAA2;PRKAB1;PRKAG1;STK11,,Autophagy AMPK
Reservoir_Favoring_NFkB_activity,Reservoir_Favoring : NFkB_activity,Reservoir_Favoring,NFkB_activity,24,0,BCL2A1;BIRC2;BIRC3;CCL2;CCL3;CCL4;CCL5;CXCL8;ICAM1;IL1B;IL6;NFKB1;NFKBIA;NOD2;PTGS2;RELA;RELB;SELE;TNF;TNFAIP2;TNFAIP3;TRAF1;TRAF2;VCAM1,,Reservoir Favoring NF-κB activity
Reservoir_Favoring_STAT_reactivation_axis,Reservoir_Favoring : STAT_reactivation_axis,Reservoir_Favoring,STAT_reactivation_axis,21,0,CD40LG;CISH;CXCL10;CXCL9;ICOS;IFNGR1;IFNGR2;IL6R;IL6ST;IRF1;JAK1;JAK2;OSMR;PIM1;SOCS1;SOCS3;STAT1;STAT3;STAT5A;STAT5B;TYK2,,Reservoir Favoring STAT reactivation axis
Reservoir_Favoring_MYC_targets,Reservoir_Favoring : MYC_targets,Reservoir_Favoring,MYC_targets,20,0,CDK4;E2F1;EIF4A1;EIF4E;EIF5A;HSP90AA1;HSPD1;LDHA;MAX;MYC;NCL;NPM1;ODC1;PABPC1;PCNA;RPL11;RPLP0;RPS6;SLC2A1;SRSF1,,Reservoir Favoring MYC targets
Reservoir_Favoring_Cell_cycle_E2F_G2M,Reservoir_Favoring : Cell_cycle_E2F_G2M,Reservoir_Favoring,Cell_cycle_E2F_G2M,23,0,AURKA;AURKB;BUB1;BUB1B;CCNA2;CCNB1;CCNB2;CDC20;CDC25A;CDC25C;CDK1;CDK2;MCM2;MCM3;MCM4;MCM5;MCM6;MCM7;MKI67;PCNA;PLK1;TK1;TOP2A,,Reservoir Favoring Cell-cycle/E2F/G2M
Reservoir_Favoring_Glycolysis,Reservoir_Favoring : Glycolysis,Reservoir_Favoring,Glycolysis,17,0,ALDOA;ENO1;GAPDH;GPI;HK2;LDHA;LDHB;PDK1;PDK3;PFKFB3;PFKP;PGAM1;PGK1;PKM;SLC2A1;SLC2A3;TPI1,,Reservoir Favoring Glycolysis
Reservoir_Favoring_OXPHOS,Reservoir_Favoring : OXPHOS,Reservoir_Favoring,OXPHOS,17,0,ATP5F1A;ATP5F1B;ATP5MC1;ATP5PF;COX4I1;COX5B;COX6C;CYC1;NDUFA5;NDUFA9;NDUFB8;NDUFS1;SDHB;SDHC;UQCRC1;UQCRC2;UQCRQ,,Reservoir Favoring Oxidative phosphorylation
Reservoir_Favoring_Apoptosis,Reservoir_Favoring : Apoptosis,Reservoir_Favoring,Apoptosis,12,0,BCL2;BCL2A1;BCL2L1;BCL2L2;BIRC2;BIRC3;CFLAR;MCL1;MDM2;TRAF1;TRAF2;XIAP,,Reservoir Favoring Apoptosis
Reservoir_Favoring_Chromatin_repression,Reservoir_Favoring : Chromatin_repression,Reservoir_Favoring,Chromatin_repression,20,0,CHD4;DNMT1;DNMT3A;DNMT3B;EED;EZH2;GATAD2A;HDAC1;HDAC2;KDM1A;MBD2;MTA1;MTA2;NCOR1;NCOR2;RCOR1;SETDB1;SIN3A;SIN3B;SUZ12,,Reservoir Favoring Chromatin repression
