"IGRA_Annotation","cloneSize","n"
"CD14+ Monocytes","Medium (5 < X <= 20)",2
"CD14+ Monocytes","Small (1 < X <= 5)",21
"CD14+ Monocytes","Single (0 < X <= 1)",66
"CD16+ NCM","Medium (5 < X <= 20)",2
"CD16+ NCM","Small (1 < X <= 5)",13
"CD16+ NCM","Single (0 < X <= 1)",40
"CD4+ Activated","Medium (5 < X <= 20)",5
"CD4+ Activated","Small (1 < X <= 5)",117
"CD4+ Activated","Single (0 < X <= 1)",1462
"CD4+ naïve","Medium (5 < X <= 20)",5
"CD4+ naïve","Small (1 < X <= 5)",140
"CD4+ naïve","Single (0 < X <= 1)",1592
"CD4+ Tfh","Medium (5 < X <= 20)",1
"CD4+ Tfh","Small (1 < X <= 5)",9
"CD4+ Tfh","Single (0 < X <= 1)",224
"CD4+ Treg","Medium (5 < X <= 20)",1
"CD4+ Treg","Small (1 < X <= 5)",17
"CD4+ Treg","Single (0 < X <= 1)",331
"CD8+ EM","Medium (5 < X <= 20)",23
"CD8+ EM","Small (1 < X <= 5)",210
"CD8+ EM","Single (0 < X <= 1)",1232
"CD8+ TCM","Medium (5 < X <= 20)",8
"CD8+ TCM","Small (1 < X <= 5)",222
"CD8+ TCM","Single (0 < X <= 1)",2427
"CD8+ TEMRA","Medium (5 < X <= 20)",115
"CD8+ TEMRA","Small (1 < X <= 5)",342
"CD8+ TEMRA","Single (0 < X <= 1)",715
"cDC2","Medium (5 < X <= 20)",1
"cDC2","Small (1 < X <= 5)",8
"cDC2","Single (0 < X <= 1)",129
"DC-like APCs","Medium (5 < X <= 20)",5
"DC-like APCs","Small (1 < X <= 5)",28
"DC-like APCs","Single (0 < X <= 1)",77
"dnT","Medium (5 < X <= 20)",6
"dnT","Small (1 < X <= 5)",104
"dnT","Single (0 < X <= 1)",983
"GC-like B","Small (1 < X <= 5)",3
"GC-like B","Single (0 < X <= 1)",9
"Intermediate B","Medium (5 < X <= 20)",1
"Intermediate B","Small (1 < X <= 5)",8
"Intermediate B","Single (0 < X <= 1)",149
"Memory B","Small (1 < X <= 5)",10
"Memory B","Single (0 < X <= 1)",41
"moDC","Small (1 < X <= 5)",2
"moDC","Single (0 < X <= 1)",14
"moDC precursor","Medium (5 < X <= 20)",1
"moDC precursor","Small (1 < X <= 5)",7
"moDC precursor","Single (0 < X <= 1)",31
"Naïve B","Small (1 < X <= 5)",5
"Naïve B","Single (0 < X <= 1)",19
"NK Cytotoxic","Medium (5 < X <= 20)",38
"NK Cytotoxic","Small (1 < X <= 5)",94
"NK Cytotoxic","Single (0 < X <= 1)",187
"NKCD56bright","Small (1 < X <= 5)",5
"NKCD56bright","Single (0 < X <= 1)",27
