"Sample","Mean","SD","NCells","Group"
"sample_1273088",0.671843598892513,0.708726798902015,410,"Negative"
"sample_1273505",-0.0399255494578299,0.648199118660474,1288,"Positive"
"sample_6056780",0.0375948937790178,0.629819607663337,1355,"Negative"
"sample_6060100",0.111409309631573,0.650899447000141,1443,"Positive"
"sample_6060150",-0.0731868809428085,0.624901402299235,1388,"Positive"
"sample_6060180",-0.0456899070647993,0.642037568442981,1306,"Positive"
"sample_6060280",0.00580830480896874,0.684718439660884,1469,"Positive"
"sample_6065400",-0.101961684063027,0.714156415569845,4150,"Positive"
"sample_6072090",0.0287296799468608,0.623562031864439,4728,"Negative"
"sample_6072210",0.00403818341533332,0.60692415182749,1063,"Negative"
