"gene","logFC","logCPM","F","PValue","FDR"
"STAB1",2.29537971379157,4.71411510375343,55.3067916054913,1.25590572468474e-05,0.126265398837164
"DUSP6",1.78448812145368,5.30185504263631,41.7200568243278,4.55031012417774e-05,0.126265398837164
"NAMPTP1",1.89981392875523,2.71311201130899,39.7858927453199,5.68627214302577e-05,0.126265398837164
"CLIC1",0.951576253959518,5.04458633075753,39.0369828753095,6.10766701496261e-05,0.126265398837164
"CLMN",1.88545837876764,4.73713132795128,38.2189169233439,6.70863826526667e-05,0.126265398837164
"TRIB1",1.36739011111555,3.84818720311365,37.3526486249023,7.42525724356415e-05,0.126265398837164
"FN1",3.37262323919874,5.28111618443204,37.2688462990616,7.50975046791274e-05,0.126265398837164
"NOTCH2NLB",1.03214553426172,3.84520637235063,36.3643052482422,8.33758239188447e-05,0.126265398837164
"CD300H",1.92766211797978,0.603475781805172,33.1015257073688,8.95003455378279e-05,0.126265398837164
"JDP2",1.3896088669398,3.41946059628724,35.0426908442555,9.81392306117578e-05,0.126265398837164
"ENSG00000262412",-1.17594334138891,-0.236105357141909,34.8875499177067,9.81605509860359e-05,0.126265398837164
"PLD2",1.14191144049851,4.54056882583436,34.8324605968644,0.000100312657159666,0.126265398837164
"CD14",1.55341176117014,4.61998327460597,34.4639052270431,0.000105022247423219,0.126265398837164
"ZBTB7B",0.896136242407949,4.08989341918177,34.3953969829342,0.000105931682395113,0.126265398837164
"MIR223HG",1.84446368553424,1.82344841453384,34.0312023601047,0.000107277325902401,0.126265398837164
"MN1",1.40407837259126,4.87331596778847,34.1163227971179,0.000109649417323014,0.126265398837164
"LILRA6",1.75732192995375,3.31996648803194,33.9507052533042,0.000112789135550699,0.126265398837164
"ARHGEF40",1.63511108030512,3.82444049795088,33.2479725507527,0.000122727946083534,0.126265398837164
"TMEM106A",0.982412382279087,4.79599577338204,32.9055613246226,0.000127886535010174,0.126265398837164
"EHBP1L1",0.924650685934612,6.86146704105171,31.7948323598324,0.000147819177349969,0.126265398837164
"OSCAR",1.76795209482467,4.06753640766787,31.6184765718287,0.000151667907893458,0.126265398837164
"MILR1",1.44893407980421,3.13691668276393,31.6393162435294,0.000151941157617488,0.126265398837164
"MYO1F",0.845269029628242,8.1155765452951,31.534726062765,0.000153012878686099,0.126265398837164
"TREM1",2.32719887293167,4.37944564141833,31.2462191314984,0.00015951555130955,0.126265398837164
"PTGFRN",1.80344427621854,2.38951045633192,31.1405782905066,0.000162278170415849,0.126265398837164
"ASPH",1.97798916543199,7.34670390105044,30.7762919152787,0.000169452570880853,0.126776592645167
"PLXND1",0.957821779468019,5.75496401565081,30.3416879068356,0.000179816186130557,0.126858850237821
"EML5",-0.944869166794952,5.19249739408027,29.6427695376107,0.000198078040974646,0.126858850237821
"PRKCD",0.946704263044746,5.51893160200191,29.5494301494312,0.000200691589920764,0.126858850237821
"RXRA",1.43231295458732,7.1305033761691,29.3027173211457,0.000207750407135174,0.126858850237821
